code,name,description,nitRestaurant,price
54868-2323,Melessa Brummell,Other repair of knee,535-88-9567,47.24
76420-743,Gleda Burrus,Inser temp pacemaker sys,482-90-6544,83.83
49884-463,Alanna Bartalin,Lid recons-part thic NEC,596-86-1302,88.57
50114-0150,Valina Swalteridge,Exc les soft tissue NEC,123-39-6331,34.51
60258-190,Allyn Windham,Scrotum & tunica i & d,235-93-8195,24.66
57237-042,Nert Tolwood,Interruption vena cava,668-02-6654,63.25
51285-441,Chris Prichard,Shorten 1 extraoc musc,768-95-1154,33.68
55154-4760,Julianne Crawforth,Metacarpophalangeal fus,664-70-5539,25.88
57664-214,Matthiew Memory,Therapeut distent bladd,283-70-6371,88.22
0781-3208,Cathyleen Lill,Apicoectomy,510-73-2611,95.44
48951-7016,Cornie Proughten,Bact smear-upper GI,157-81-1580,36.15
49288-0001,Wake Gwynne,Removal superfic FB eye,705-58-8920,37.94
41520-544,Linn Rottger,Synovectomy-site NOS,707-28-3478,34.47
55154-3431,Ashil Teenan,Lap rev gast restri proc,536-24-7037,4.96
63824-124,Melony Enrietto,SuperSat O2 therapy,881-10-4427,52.80
55154-1057,Sebastien Gurwood,Music therapy,598-97-9790,11.13
55111-533,Katrinka Norgan,Divis glossopharyng nerv,393-69-1693,56.94
0781-3240,Kial Ramsay,Open osteoplas mand rami,467-31-8143,96.95
0781-3777,Silvain Rolinson,Vas & epididy repair NEC,246-47-6037,19.19
55154-2375,Jacquenette Smithe,Pineal field exploration,128-70-1431,74.50
67692-332,Talya Lomen,Exc les sft tiss hnd NEC,245-47-9850,6.03
0113-0430,Heath Bruggen,Cl fx reduc-finger,161-42-6572,30.87
65121-494,Cherry Methven,Procedure-four+ vessels,371-91-2854,85.39
50436-3074,Herve Pietasch,Thor rep-diaph hern NOS,456-11-9524,1.65
10056-530,Maxy Missenden,Suture duoden ulcer site,751-24-7632,97.34
67777-174,Caria Prendeville,Allo hem stem ct w/o pur,654-11-4072,44.67
63629-5147,Alexandros Snowdon,Excis metatar/tar-graft,834-81-9592,90.58
0378-1667,Camellia Rudgard,Cyclodialysis,133-84-3967,22.71
52426-220,Riccardo Bordman,Electrocochleography,881-97-3519,44.75
58406-435,Reinaldos Dyhouse,Lid lacer rx-prt th NEC,557-34-3947,81.01
0904-5154,Jessie Artin,Retinal tear repair NEC,461-68-6508,93.87
62032-121,Lawton Piens,Auto bone mt w purging,654-80-0535,93.55
42903-002,Micheline Parysiak,Oth laryngeal operation,575-98-7538,95.02
60808-000,Marys Nuzzti,Bilat extend simp mastec,362-82-6685,9.63
33261-001,Gustaf Formie,Nasal sinus fistula clos,430-32-8928,90.73
64616-107,Ailey Carnachen,Lg bowel dx proced NEC,448-74-8921,18.75
21130-610,Damaris Garlinge,Toxicology-op wound,202-03-9940,40.67
57520-0143,Bendite Maccree,Osteoclasis-femur,537-15-7749,64.30
47682-006,Starr Biernat,Vacuum ext del w episiot,335-60-1140,32.38
49349-550,Lura Kahane,Thoracic spine x-ray NEC,153-42-1124,87.19
21695-755,Caryl Baxstare,Operations on clitoris,869-14-3807,42.45
13537-121,Abel Goodsell,Urin diversion to bowel,280-39-4833,0.48
15749-820,Jaquelyn Devil,Nasal lesion excis NOS,308-05-6666,1.91
36987-2182,Mona de Villier,Post synechiae lysis,835-71-8676,53.52
65919-002,Eirena Piscot,Hand tenonectomy NEC,479-85-0683,62.69
0270-1316,Phaedra Tydeman,Scler fistuliz w iridect,527-63-5438,52.41
42254-110,Humbert Hazelhurst,Clos bx saliv gland/duct,290-97-1482,91.78
34362-0302,Vivi Gingedale,Relaxation of scar,239-98-8045,21.65
52125-553,Bee Blaydes,Ovarian aspirat biopsy,389-23-0427,45.14
49404-105,Jo-ann Molnar,Ureterostomy closure,875-38-8303,17.26
68462-360,Rudolph Chellam,Drug addict counselling,531-21-9363,70.12
68258-6010,Veda Pilbury,Retinal tear laser coag,596-60-0031,57.04
52244-920,Dwight Cantera,Fallopian tube insufflat,323-50-9484,27.25
10742-8580,Laurella McCathay,Leg vein resect/anastom,575-49-5403,80.31
54296-3001,Kirstin Banasik,Rectorectostomy,400-54-3187,83.18
0904-5187,Doti felip,Cul-de-sac grf/pros NEC,228-84-6139,93.17
37000-249,Kyrstin Laxton,Metacarp/carp inj op NOS,482-89-3076,10.63
55312-647,Dorothea Mewburn,Lid marg lac rx-ful thic,148-86-4294,32.24
0143-3994,Haslett Tidbold,Detach retina-cryotherap,527-81-2650,21.24
55312-530,Desi Munroe,Bile duct excision NEC,423-47-9201,12.43
33261-896,Isidore Quixley,Destruction lid lesion,685-52-2241,14.62
69152-0022,Demetri Matheson,Cl reduc disloc-foot/toe,751-14-3931,30.45
48951-4062,Gretta Caller,Destruct chest wall les,577-27-0636,12.28
58232-0026,Ada Varns,App hybrid ext fix dev,674-73-1379,16.69
66116-464,Ynes Giacovelli,Retinal tear laser coag,441-75-6487,59.80
54868-2742,Riane Ballin,Nephrotomogram NEC,524-26-5972,15.04
68788-9714,Carmina Ordelt,Other parathyroid ops,423-65-2519,66.26
59762-4537,Brande Andor,Percu abdominal drainage,365-73-8408,51.65
53808-0398,Raimondo Goult,Excision thyroid lesion,809-19-2492,15.67
63354-450,Karrie Bukowski,Unilateral vulvectomy,411-97-0798,52.96
63187-044,Adolphus Kerrich,Vaccination/innocula NEC,645-42-6902,43.36
10202-974,Nanny Lasselle,Intrathoracic shunt NEC,388-49-0360,56.43
53329-807,Ashien Knok,Contrast vasogram,596-52-4608,15.00
0615-7514,Nickie Scaplehorn,Ovarian dx procedure NEC,869-19-6060,43.46
51815-218,Morris Hainning,Cell blk/pap-peritoneum,885-55-9551,54.25
51393-6667,Bendicty Boyse,Parasitol-spleen/marrow,562-06-9512,22.81
68084-322,Mac Legrand,Insert perm tube esophag,147-64-6955,13.21
69044-123,Lezley Boar,Skull transilluminat,315-08-0195,73.95
0173-0777,Jori Blasius,Hand skin graft NEC,827-75-0121,62.89
0023-0240,Onofredo Warstall,Endo pulm arwy flow msmt,587-33-9668,81.73
66758-017,Netti Neve,Unil subq mammect-implnt,267-56-3337,87.84
52125-020,Arliene O' Driscoll,Total hip replacement,821-14-7713,93.39
62713-941,Thedrick Barbour,Rectal perirect op NEC,628-68-8134,49.46
53329-015,Isiahi Shipsey,Arth/pros rem wo re-foot,100-63-0417,63.42
55154-5052,Niels Binton,Ther ult peripheral ves,693-85-7871,77.39
63629-3764,Ancell Akester,Contr thor arteriogr NEC,154-96-2499,25.50
0485-0206,Shalom Addie,Femoral biopsy,324-28-5947,80.04
57451-5026,Bertie Belloch,Metatarsophalangeal fus,374-38-6180,87.73
64980-190,Aigneis Weddell,Suture penile laceration,660-56-1463,41.54
67172-935,Gail Hutton,Spine tract w skull dev,663-61-2718,63.51
50466-575,Nicolette Edensor,Nonmag remov ant seg FB,332-76-8421,52.45
54973-9147,Kenna Blease,Unilat simple mastectomy,269-68-2819,98.67
33261-848,Terry Gareisr,Incis perianal abscess,884-21-3257,7.89
0179-0119,Creigh Jarret,Range of motion testing,862-12-0266,6.03
60846-810,Freddie Nolda,Closed adrenal gland bx,700-37-7618,98.29
48951-4092,Michel Churchley,Lysis of tongue adhesion,385-70-3324,62.03
68405-024,Kacie Turbat,Chest cage wedg osteotom,252-85-2606,82.61
65841-686,Yolande Quinnelly,Hand tendon reattachment,594-66-1863,28.60
48951-8165,Marlene Walford,Other phototherapy,815-08-8248,8.37
25010-810,Coreen Buckston,Entral infus nutrit sub,243-28-6147,95.30
53329-138,Burnaby McMichael,Max art lig for epistax,143-23-4334,77.65
61957-1002,Robinson Wank,Neurologic examination,611-72-0462,43.45
49349-262,Onida Crystal,Toxicology NEC,358-90-0213,99.71
69041-004,Alikee Sweetenham,Manual reduc rect prolap,555-45-4066,32.81
21695-458,Jarad Zappel,Excise patella for graft,106-79-6614,23.71
0093-5768,Harriott Brislen,Percutan vertebroplasty,885-87-7861,50.49
55754-121,Bennie Gurney,Cnt intraart bld gas mon,114-92-8651,67.54
57664-239,Elva Fedoronko,Ureth/periureth op NEC,216-09-2887,66.00
17575-020,Harland Karpf,Impl intraoc telesc pros,680-55-8679,96.47
49349-562,Otho Aizic,Temp detach >1 xtroc mus,270-37-1709,55.02
0245-0039,Armstrong Bannister,Pneumoencephalogram,341-59-2082,39.49
68828-179,Fabe Attree,Parasitlolgy-lower urin,174-74-0801,33.87
41163-314,Jarid Ropcke,Type 4 tympanoplasty,404-53-0740,46.58
65862-361,Isabelle Darleston,Insert 2 vascular stents,860-88-8041,78.07
52533-001,Jeff Abrashkin,Periph nerve destruction,356-36-6432,62.77
63981-604,Micky Wetherald,Oth cardiac mon output,243-37-3653,88.21
49738-079,Dennie Piletic,Insert uterine device,847-86-7686,48.09
43419-013,Gayel Furtado,Removal iud,246-46-1669,91.37
68403-1100,Gayla Benedyktowicz,Peritoneal incision,515-44-2133,25.20
64942-1279,Cchaddie Hainey,Tooth & gum dx proc NEC,519-92-6162,0.33
54868-5794,Milo Zielinski,Intraop gastric manipul,394-47-6813,2.71
0904-6344,Jourdan Bett,Yellow fever vaccination,292-52-5743,67.45
49781-098,Maye Santostefano.,Chemical shock therapy,404-77-6999,42.66
62296-0032,Edita McHale,Pancreatic anastomosis,796-67-0689,8.74
11994-128,Asia Sherborne,Humerus wedge osteotomy,380-29-4706,53.97
51991-363,Morgan Allsopp,Skin graft to mouth NEC,868-53-3238,57.04
76234-000,Mellicent Stidworthy,Remov biliary/liver tube,697-07-7729,80.97
55926-0021,Gayel Piddick,Pneumoperit-lung collaps,267-35-4128,91.68
54868-5079,Brock Pullar,Fit lo arm/hand prosthes,342-69-1153,74.30
55758-005,Clara Littlekit,Remove orbital implant,670-25-4917,83.30
57955-5018,Scarlet Comerford,Prod subq tunnel no anas,182-29-2476,13.77
68788-9521,Andrew Pfertner,Fit below knee prosthes,836-35-5601,43.47
64175-991,Jock Carryer,Oth exc/dest intvrt disc,112-88-8971,5.05
65044-0833,Aila Renihan,Bact smear-ent/larynx,527-74-7516,20.90
49288-0608,Tudor Burt,External ear biopsy,357-98-2469,63.73
64064-002,Bondy Rains,Cystotomy & adhesiolysis,222-65-7182,75.99
21695-143,Noah Tippings,Refus oth cerv post/post,842-08-6560,11.64
51270-118,Lu Lias,Lap bil dir ing hrn-grft,623-13-5748,20.12
55910-379,Breena McRory,Remov intralum gastr FB,526-06-9515,7.72
43979-400,Harper Bunclark,Oth exc/dest intvrt disc,362-84-8543,61.90
50436-5506,Veronique Marsham,Other heart/pericard ops,121-94-9256,83.38
21695-283,Xylia Guillard,Vaginal const w grf/pros,148-70-6588,26.24
65966-014,Irina Cousen,Laparoscopic liver bx,268-59-1233,94.80
49738-177,Janice Josefer,"Repl pacem w 1-cham, non",554-02-4108,10.97
0069-0076,Aarika MacAree,Destruct-hip lesion NEC,246-21-8079,83.67
10544-503,Chiquita Tomczykiewicz,Vaginal repair NEC,468-35-5766,53.62
68712-049,Cecile Davern,Rev/reloc card dev pockt,897-62-8088,9.10
42291-629,Fredelia Eddowes,Arth/pros rem wo re-shld,541-50-2234,74.59
61355-570,Ingra Tough,Culture-female genital,764-10-4009,79.84
50111-851,Sigfried Jack,Dx ultrasound-abdomen,466-43-2623,6.21
54868-6360,Chev Hessle,Unil breast injec-augmen,201-91-6413,30.00
57687-290,Bram Blundan,Radical orbitomaxillect,887-01-6718,31.24
37808-949,Artair Barhems,Renal repair NEC,174-74-7972,97.28
0078-0240,Scottie Genty,Extracorpor hepat Assis,554-24-4042,76.76
49349-281,Kasey McInility,Applic ext fix dev-femur,732-64-1706,36.55
55154-1610,Gustavus Kersey,Opn mul seg lg intes NEC,585-36-2010,0.73
0173-0453,Claudell Dartan,Skull biopsy,519-34-6631,98.23
52125-487,Louis Pakenham,Hand synovectomy,527-59-6782,36.14
21695-996,Isidro Orum,Therapeu plasmapheresis,876-67-8256,68.39
52125-488,Zahara Gredden,Soft tissue incision NEC,375-14-8043,62.39
41190-951,Hesther Caulder,Rx cornea lac w conj flp,831-81-3932,7.81
10147-0883,Karina Rollason,Tot ostectomy-femur,426-63-9027,20.08
43742-0098,Cyb Rittmeyer,Play psychotherapy,430-84-8207,33.32
55316-393,Porter Titchener,Tu remov ureter obstruct,588-99-9401,14.64
0363-0130,Pierette Castiblanco,Rev knee repl-tibia comp,237-60-2595,62.70
63323-324,Raquela Buye,Thermokeratoplasty,702-30-2259,52.15
0135-0226,Lucille Maestro,Other bronchial excision,602-78-1615,80.56
76419-211,Tobey Bracchi,Corneovitreal adhesiolys,338-34-2224,70.07
15197-007,Dory Dalwood,Rehabilitation NEC,479-61-2985,37.53
0179-0034,Tobit Snowsill,Detach retina laser coag,367-52-4350,50.55
68788-9413,Ursa McGarrell,Repair staphylom w graft,282-40-6878,60.21
65044-2634,Darrelle MacGillicuddy,Sequestrectomy NEC,413-16-6380,29.13
0179-0094,Gregoor Birbeck,Radical mastoidectomy,801-97-9912,64.63
16590-129,Lauralee Rouke,Small bowel fixation NEC,210-69-2239,3.60
62584-746,Kinny Lorenzo,Remov trunk suture NEC,514-61-1014,38.48
50268-101,Glendon Lindenberg,Suture ext ear lac,598-04-6499,47.73
51460-1112,Beverley Downage,Vessel operation NEC,766-01-0815,90.93
62007-023,Flossi Winborn,Rev jt repl upper extrem,221-86-8691,17.74
37808-430,Eleanor Gaydon,Arth/pros rem wo rep-elb,721-18-2996,18.48
68472-104,Nikolai Letteresse,Destruct peritoneal tiss,270-53-3745,45.76
0363-0664,Fifi Papaminas,Thorac sm bowel interpos,535-94-6389,3.05
0781-9407,Cherie Mac Giolla Pheadair,Comprehensive eye exam,477-50-6925,56.92
66902-229,Mariska Hambers,Incis perianal abscess,402-87-9814,46.18
51079-599,Hilary Bigrigg,Rev knee repl-femur comp,363-23-4744,97.56
58789-002,Kahlil Gladdolph,Tonsil&adenoid dx op NEC,587-13-4445,11.80
0378-4532,Harmon Meanwell,Culture-integument,242-79-1316,40.52
50268-599,Frederich Krebs,CAS w fluoroscopy,229-69-6904,60.88
43498-151,Dulce Ismail,C & s-female genital,369-61-3787,13.11
0228-2550,Jillana Woodier,Glaucoma testing,857-61-1425,50.28
63824-302,Modesta Spurnier,Extraoc musc-tend biopsy,282-69-3176,44.18
52584-032,Ram McElhargy,Oth remove rem ova/tube,433-55-6834,58.97
24909-148,Johny Rooksby,Rotator cuff repair,660-09-0966,61.45
55289-024,Loella Blain,Pancreatic heterotranspl,250-79-4153,91.47
49884-494,Natassia Reckless,Scarification of pleura,125-36-4373,84.75
44597-5605,Tiffy Rolstone,Parathyroid reimplant,833-41-5971,0.76
64762-861,Bette-ann Stanaway,Radius/ulna inj op NOS,219-90-7620,99.46
42254-090,Hillard Iacovaccio,Remove ureteral ligature,767-49-9844,46.53
65044-0826,Neda Bertolin,Bact smear-lymph system,733-79-3714,70.50
69075-001,Stevena Loxdale,C & s-integument,141-35-9165,3.00
63824-926,King Newcomen,Uterine art emb w coils,701-69-1793,56.26
65342-2000,Mollie Tollerton,Exc correct bunionette,668-39-0278,62.68
16729-115,Sheila-kathryn O'Henehan,Perivesical incision NEC,564-19-5051,1.49
61995-1386,Viviene Maroney,Tot mandibulec w reconst,425-62-1494,61.66
58980-452,Man Senn,Smallpox vaccination,801-23-0639,52.60
37000-395,Percival Eskell,Esophagoscopy NEC,454-95-8477,4.37
0173-0741,Russ De Freitas,Suture of vessel NOS,345-86-1312,15.56
24385-130,Blayne Robjohns,Tm manipulation NEC,545-48-7366,32.70
48433-308,Courtney Eland,Pyelotomy,423-41-6682,39.79
60512-6033,Dominique Martinat,Lap wedge resect ovary,463-37-0571,92.85
54092-517,Denys Worden,Repair ob lac uterus NOS,443-10-1946,3.05
43063-232,Elyssa Skokoe,Opn reduc disloc-shouldr,684-76-5540,89.56
68647-196,Jocelyn Nerney,Inject/infuse NEC,498-02-8189,33.29
59115-129,Rosaleen Lusgdin,Gb-to-stomach anastomos,402-54-4100,81.91
16729-148,Kellyann Beckford,Partial pancreatect NEC,612-68-5966,58.71
43478-410,Remington Lisciardelli,Esophagostomy closure,180-84-8742,97.92
0280-1460,Reta Mosdell,Fiber-optic bronchoscopy,208-24-8662,56.65
30142-928,Northrop Oehm,Open thyroid gland bx,422-35-2640,71.56
55154-4915,Madella Kiefer,Endosc control gast hem,117-77-6997,54.32
68001-220,Feodora Hearnah,Puncture of spleen,222-25-7628,87.27
54458-892,Huey O'Lynn,Eye enuc w implant NEC,718-67-7866,52.90
52685-431,Jared St Ledger,Pressure dressing applic,184-64-2302,83.09
67046-107,Elisabet Veque,Hemorrhoid cryotherapy,719-77-8609,7.29
0591-3759,Mella Tetther,Abd-coron artery bypass,328-98-6569,6.74
0781-5175,Abeu Turnock,Appl ext fix-chest cage,519-73-1182,18.26
42549-659,Winnie Gadaud,Total wrist replacement,354-04-1519,20.19
66993-050,Addi Staniland,Revis inner ear fenestra,459-50-6973,67.28
11673-437,Bryce Cummins,Open mediastinal biopsy,710-59-5851,6.36
54569-1285,Fredericka Sturrock,Suture of pharyngeal lac,856-44-5524,69.48
52731-7051,Marne Cuphus,Bone biopsy NEC,434-21-5792,36.64
54092-254,Debbi Rzehorz,Insert vasc access dev,189-34-5657,56.88
68788-9100,Uri Sommer,Spectacle fit & dispense,301-73-4149,72.83
0573-0165,Pammi Yurshev,Excision foot joint NEC,691-68-9632,81.90
60505-2652,Rafaelia Quarlis,Replace gastrostomy tube,895-74-8582,37.19
13537-546,Tymon Pestell,Thyroid suture,277-76-5073,32.13
59212-659,Avie Pentycost,Bronchial operation NEC,319-65-5535,91.30
62011-0158,Anneliese Saffen,Percutaneous pyelogram,701-66-4401,8.19
0378-0073,Enos Bosence,Nasal fistula closure,505-64-4029,18.43
61727-339,Rachael Freegard,Extraperitoneal c-sect,497-85-1391,51.58
52125-559,Lib Simecek,"TRAM flap, free",470-52-8168,72.13
0071-1017,Kial Danilovitch,Tongue dx procedure NEC,575-81-8224,50.99
41163-089,Mellisa Shefton,Skull transilluminat,748-03-5512,81.69
66794-015,Royal Jest,Dilation of rectum,270-97-5547,61.36
31722-505,Gabe Pickersgill,Eye/orbit inj repair NEC,835-35-5479,98.69
54868-4711,Frederick Richardet,Insert/replac skull tong,347-24-7496,12.87
63629-1345,Baily Wandless,Catarac phacoemuls/aspir,328-85-0402,56.72
16729-146,Taber Betonia,Spinal refusion NOS,237-67-7975,82.51
49348-805,Sunny Pahlsson,Remov intralum stoma FB,402-36-9652,73.53
53808-0976,Mellicent Sanbrooke,Cell block/pap-endocrine,404-56-2120,25.22
62011-0221,Sanderson Cromley,Myotomy of sigmoid colon,362-09-1887,78.02
64942-1096,Bevan Angel,Adhesiolysis mus/ten/fas,127-81-1206,38.07
63323-289,Caspar Brunn,Decortication of lung,730-29-3102,21.31
53808-0355,Tommie Tanfield,Cls red-tibia/fib epiphy,714-76-1896,53.10
0270-0149,Andreas Scoggans,Radical maxillary antrot,525-12-8583,59.17
17478-826,Mirabella Bellay,Transpleura thoracoscopy,365-28-0404,36.96
46122-055,Brianna Whopples,Lac punctum obliteration,876-08-5981,99.38
36987-2544,Lindi Tomei,Pancreatotomy NEC,148-90-1411,62.90
68645-340,Harri Finlay,Other C.A.T. scan,567-58-5441,17.51
49884-650,Roy Beauman,Transabdomin gastroscopy,195-80-7659,66.94
10096-0243,Kat Reeman,Postop vas reconstruct,501-94-0051,11.35
49580-1434,Yvor Dalloway,Arthrodesis of shoulder,298-72-4792,73.48
37000-913,Junie Myott,SuperSat O2 therapy,451-16-6783,18.01
51531-5395,Sofie Reinard,Operation on lens NEC,827-71-9551,54.30
52125-183,Jere Gooch,Renal diagnost proc NEC,627-90-8695,75.03
63323-285,Dee dee Scrivenor,Cord bld stem cell trans,566-62-8089,49.08
63629-5078,Shauna Adriani,"Oth exc, fus, repair toe",870-79-8059,58.27
55038-555,Blake Aspinall,Extracap lens extrac NEC,586-03-4409,79.35
68428-064,Reta Ivanilov,Resect ext seg sm bowel,302-30-3259,91.13
37000-813,Jase Toolan,Psychologic test adminis,125-10-6270,25.31
0067-0003,Dukie Gooke,Referral for psychother,331-52-7892,60.61
41250-668,Giffer Penley,Grft repair hrt sept NOS,594-68-4214,75.04
0078-0595,Amabel Hovey,Blow therapeut into tube,256-09-8651,48.71
0268-6108,Sharleen Graveston,Opn bi dr/in ing hrn NEC,746-96-1381,68.75
54569-5227,Clayson Shuard,"Oth exc, fus, repair toe",496-28-9175,95.96
49288-0379,Hilliary Ambrosetti,Anal sphincterotomy NEC,601-07-1606,1.49
48951-4002,Witty Kertess,Puncture of lung,657-92-7036,32.11
35000-715,Mahalia Bricklebank,Contrast arteriogram-leg,860-08-6965,43.58
55154-8257,Cynde Pothecary,Remove dental packing,403-50-1907,18.51
64380-758,Irma Fitzsimmons,Partial splenectomy,706-38-2822,14.71
51824-007,Emelina Seares,Local renal perfusion,217-11-8985,88.91
66116-255,Ely Godfrey,Replantation of scalp,137-01-1361,38.19
75956-147,Anitra Regnard,Remov urin drainage NEC,466-44-8077,19.92
50419-701,Obadias Sandifer,Drain appendiceal absc,185-60-7249,78.99
58668-2872,Hyman Geraudel,Perc transmyo revascular,419-04-4418,61.68
60505-2592,Gabie Afield,Cell block/pap-endocrine,272-86-1339,11.38
67046-230,Yolande Morigan,Low forceps operation,739-06-1883,0.74
20276-321,Cyril Ephgrave,Surg tooth extract NEC,413-78-3104,2.81
57894-061,Kimberli Treadwell,Suture of lip laceration,541-22-1354,69.01
67296-0584,Benedicta Summerbell,Lap periton adhesiolysis,750-46-2105,56.58
0245-0035,Bartholomeus Pepon,Remov gastrostomy tube,608-54-4771,29.87
54473-176,Hanna Billing,Gastric repair NEC,223-81-4548,20.29
45014-150,Julietta Shirt,Limb shorten-metacar/car,385-10-4824,27.19
60681-1105,Leesa Rigmond,Cut & prep pedicle graft,303-80-8376,22.02
11390-001,Hilda Lindner,Closed spleen biopsy,263-03-4206,36.89
51141-0300,Akim Gallandre,Corneal operation NEC,824-40-0882,34.63
55154-5359,Marcella Pauling,Manual explor uterus p/p,364-47-5388,80.21
35000-857,Orran Melling,Bil breast injec-augment,703-29-0823,94.36
0942-6478,Adriaens O'Hallihane,Abdominal artery excis,741-68-6263,11.38
62713-925,Danielle Odom,Opn red-sep epiphy-femur,468-58-9825,28.84
68308-554,Findlay Adamsen,Lengthen 1 extraoc musc,125-90-4541,21.74
43455-0020,Robbyn Egdal,Oth sleep dis funct test,749-61-8543,47.55
65044-5113,Liva Kopf,Rad node dissection NOS,213-72-2191,91.60
0069-0173,Lindsay Sayburn,2ndry ocular imp insert,761-96-4344,97.78
0338-1123,Lindsay Palomba,Bowel diagnost proc NEC,408-66-8682,7.22
68084-097,Bogey Paeckmeyer,Arbovirus vaccinat NEC,581-58-4494,6.99
0699-5725,Aaron Melan,Opn/oth rep pulm vlv-tis,567-73-4128,63.19
36987-2073,Ebonee Fieldgate,Bile duct repair NEC,243-53-5489,56.77
65862-626,Gerhardine Pendered,Labial frenumectomy,277-30-5512,17.71
67046-161,Sylvan Cassy,Thoracic spine x-ray NEC,877-77-5861,79.14
63629-4725,Lorettalorna Robichon,Excis les tendon sheath,203-91-5633,77.38
55154-7474,Bonnie Arons,Detach retina-cryotherap,274-97-5547,34.41
42858-104,Rubia MacGuigan,Eye evisc w synch implan,375-40-8852,19.67
0026-3785,Raina MacMorland,Psychol mental stat NOS,104-52-1094,73.03
65044-2362,Jeanna Wollacott,Femoral wedge osteotomy,109-15-5872,17.78
49781-086,Hedvig Celle,Percutan liver aspirat,223-47-5256,97.56
33261-222,Sean Sawbridge,Implant CCM pulse genrtr,419-37-7803,0.43
0179-0098,Basilio Bearne,Lap bi dr/ind ing hrn-gr,429-32-0788,94.71
0615-7705,Marlin Cuttles,Ext carot art lig-epist,735-46-0843,49.49
49348-476,Terry Griffitts,2 int mam-cor art bypass,142-22-7401,15.25
41520-927,Bryant Largan,Remov intralum ear FB,530-69-6471,46.88
58228-0104,Cinderella Skullet,Closed brain biopsy,479-93-8531,35.67
37012-550,Willabella Budgeon,Int/comb version w extr,501-03-7013,67.18
52686-265,Chevy Phipard-Shears,Eyeball & orbit biopsy,606-72-6124,72.48
33261-756,Joshua Praten,Open bx saliv gland/duct,565-46-1690,17.95
68745-1127,Ryann Sickamore,Inject tranquilizer,852-31-5228,71.18
65517-0002,Everard Ghilks,Bilat extend simp mastec,499-05-5381,59.57
48951-6055,Page Jonsson,Vocational rehabilitat,363-44-3537,61.79
11673-461,Reinold Corringham,Lap abd rep-diaphr hern,174-52-3314,81.38
53808-0750,Dianna Hatrey,Renal diagnost proc NEC,898-09-5383,23.49
66467-2140,Teriann Husband,Ultraviolet light therap,675-35-7636,6.68
58892-336,Jordain Lorenc,Quadrant resect breast,697-55-6525,47.07
0168-0381,Brear McGeneay,Unilateral adrenalectomy,617-87-9415,15.15
65649-701,Consalve Dogerty,Revise disc prost thora,732-48-5478,90.21
36800-800,Dorotea Lefridge,Bladder les destruct NEC,827-90-7653,34.91
65044-2298,Tracee Davioud,Intracran vessel excis,131-69-5173,26.46
36987-3001,Mady Szymczyk,Manual rotat fetal head,161-43-5910,97.28
11822-1406,Pru Scrimshaw,Proctostomy,701-54-0071,78.98
0944-8503,Emily Cropp,Nonop remov hrt asst sys,892-21-1692,8.49
53942-505,Harper Raunds,Interphalangeal fusion,376-17-7785,95.65
61722-043,Adelaida Mowsdill,Tongue dx procedure NEC,320-78-7584,6.55
24385-170,Enos Garrigan,Music therapy,228-70-7307,45.81
30142-938,Giselbert Sammes,Infusion of vasopressor,259-53-4885,12.31
63304-173,Karolina Moffatt,Thyroid scan/isotop func,554-14-7422,87.95
62670-4828,Renae Floweth,Suture of tongue lacerat,839-52-6479,35.94
